fid,chirality,length,functional_group,doping,mean_ig,max_ig,std_ig,top10_ig
6,"6,6",10,C=O,none,0.05383904947261108,1.0,0.09026001958478394,0.19026542170610836
38,"13,2",10,SO3H,none,0.07195648683550952,1.0,0.20065363641029801,0.5820552700848948
21,"7,5",10,none,2Ti_surface,0.023697429468682998,1.0,0.12461716085623618,0.21789483119980815
7,"6,6",10,NH2,none,0.010994111555457872,1.0,0.08499051580049329,0.09148753317276458
37,"13,2",20,none,none,0.032772329084004306,1.0,0.1510741881126224,0.29041863692716763
42,"13,2",10,none,1Ti_substitution,0.02665775046597836,1.0,0.09858996881395647,0.23123697679779787
42,"13,2",10,none,1Ti_substitution,0.02893717945782938,1.0,0.10172851192712892,0.24292953565520137
30,"13,1",10,none,1Ti_surface,0.021397569676773778,1.0,0.09398637627940565,0.18959824537962006
37,"13,2",20,none,none,0.032919632105191096,1.0,0.15059061362525214,0.2892213281784903
10,"6,6",10,none,2Ti_surface,0.0222556289900267,1.0,0.11792080196926738,0.1970183750642599
39,"13,2",10,C=O,none,0.05912257620637823,1.0,0.19460630043237187,0.5101790558521997
22,"7,5",10,none,2Ti_substitution,0.07995283277928074,1.0,0.19064684694472392,0.593539401000385
6,"6,6",10,C=O,none,0.041095979654526237,1.0,0.09220930857443657,0.18170498338460225
17,"7,5",10,C=O,none,0.07599880557339996,1.0,0.09269756835833087,0.2150389156883248
1,"6,6",10,none,none,0.7087521951159331,1.0,0.2853644635120125,1.0
3,"6,6",15,none,none,0.6877052554648095,1.0,0.24623264558864966,1.0
18,"7,5",10,NH2,none,0.010767958686692712,1.0,0.08834062665042883,0.09873624869758461
43,"13,2",10,none,2Ti_surface,0.0903077180039237,1.0,0.22426880982971692,0.749764791838738
25,"13,1",15,none,none,0.044540907473978014,1.0,0.16509959078143388,0.34899784873302636
39,"13,2",10,C=O,none,0.059040801380140236,1.0,0.19296240312835067,0.5068334669050876
37,"13,2",20,none,none,0.03331531569004954,1.0,0.1512431826214266,0.2915950337232497
37,"13,2",20,none,none,0.03304084773352382,1.0,0.15134588193964105,0.2917541579715073
34,"13,2",10,none,none,0.058009779835286476,1.0,0.19861342721991024,0.4901745270559055
