File ID,Temperature (K),G,Pressure (bar),theta
11,273,0.007076,2,0.596849
11,273,0.007076,3,0.689508
11,273,0.007076,4,0.747533
11,273,0.007076,5,0.787286
11,298.15,0.007905,1,0.423679
11,298.15,0.007905,2,0.595189
11,298.15,0.007905,3,0.68803
11,298.15,0.007905,4,0.74623
11,298.15,0.007905,5,0.786129
11,400,0.011204,1,0.419444
11,400,0.011204,2,0.590998
11,400,0.011204,3,0.68429
11,400,0.011204,4,0.742927
11,400,0.011204,5,0.783195
11,500,0.014355,1,0.417467
11,500,0.014355,2,0.589033
11,500,0.014355,3,0.682532
11,500,0.014355,4,0.741373
11,500,0.014355,5,0.781812
11,600,0.017426,1,0.416527
11,600,0.017426,2,0.588096
11,600,0.017426,3,0.681693
11,600,0.017426,4,0.74063
11,600,0.017426,5,0.781152
11,700,0.02043,1,0.416125
11,700,0.02043,2,0.587696
11,700,0.02043,3,0.681335
11,700,0.02043,4,0.740313
11,700,0.02043,5,0.780869
12,77,-7.80E-05,1,0.502939
12,77,-7.80E-05,2,0.669274
12,77,-7.80E-05,3,0.752198
12,77,-7.80E-05,4,0.801874
12,77,-7.80E-05,5,0.83496
12,100,0.000334,1,0.490311
12,100,0.000334,2,0.657998
12,100,0.000334,3,0.742662
12,100,0.000334,4,0.793726
12,100,0.000334,5,0.82788
12,273,0.003114,1,0.466955
12,273,0.003114,2,0.636632
12,273,0.003114,3,0.724369
12,273,0.003114,4,0.777978
12,273,0.003114,5,0.814129
12,298.15,0.003476,1,0.466227
12,298.15,0.003476,2,0.635955
12,298.15,0.003476,3,0.723785
12,298.15,0.003476,4,0.777472
12,298.15,0.003476,5,0.813686
12,400,0.004847,1,0.464902
12,400,0.004847,2,0.634721
12,400,0.004847,3,0.722719
12,400,0.004847,4,0.77655
12,400,0.004847,5,0.812877
12,500,0.00608,1,0.464779
12,500,0.00608,2,0.634607
12,500,0.00608,3,0.72262
12,500,0.00608,4,0.776464
12,500,0.00608,5,0.812802
12,600,0.00722,1,0.465145
12,600,0.00722,2,0.634947
12,600,0.00722,3,0.722915
12,600,0.00722,4,0.776719
12,600,0.00722,5,0.813026
12,700,0.008284,1,0.46572
12,700,0.008284,2,0.635483
12,700,0.008284,3,0.723377
12,700,0.008284,4,0.777119
12,700,0.008284,5,0.813377
13,77,0.000327,1,0.487682
13,77,0.000327,2,0.655626
13,77,0.000327,3,0.740646
13,77,0.000327,4,0.791998
13,77,0.000327,5,0.826376
13,100,0.000874,1,0.474665
13,100,0.000874,2,0.64376
